id,degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighteddegree,authority,hub,clustering,triangles,eigencentrality
768,821,2,0.988109,0.993983,4.30E-05,15536,0.035388,0.035388,0.976183,328593,0.994778
769,679,2,0.845371,0.908544,5.00E-06,2442,0.029579,0.029579,0.995703,229192,0.831412
770,823,2,0.990465,0.995187,4.40E-05,19894,0.035467,0.035467,0.975749,330050,0.997001
771,807,2,0.97193,0.98556,2.70E-05,6914,0.034922,0.034922,0.984042,320031,0.981649
772,805,2,0.969662,0.984356,2.00E-05,5019,0.034869,0.034869,0.98586,319034,0.980125
773,830,2,0.998798,0.999398,0.000157,26785,0.035565,0.035565,0.964611,331860,0.999814
774,820,2,0.986936,0.993381,3.70E-05,14160,0.035378,0.035378,0.978001,328403,0.994481
775,817,2,0.983432,0.991576,3.40E-05,13510,0.035282,0.035282,0.979894,326634,0.991774
776,822,2,0.989286,0.994585,4.10E-05,15229,0.035435,0.035435,0.976374,329459,0.996097
777,813,2,0.978799,0.98917,2.90E-05,9644,0.035154,0.035154,0.982456,324287,0.98817
778,818,2,0.984597,0.992178,2.70E-05,8734,0.035355,0.035355,0.981556,327990,0.993822
779,821,2,0.988109,0.993983,4.20E-05,11718,0.035398,0.035398,0.976706,328769,0.995046
780,821,2,0.988109,0.993983,4.20E-05,18905,0.035402,0.035402,0.976938,328847,0.995156
781,825,2,0.992832,0.99639,6.50E-05,33535,0.035446,0.035446,0.96985,329652,0.996435
782,825,2,0.992832,0.99639,5.00E-05,16763,0.035511,0.035511,0.973395,330857,0.998238
783,817,2,0.983432,0.991576,3.40E-05,19165,0.035278,0.035278,0.97969,326566,0.991662
784,821,2,0.988109,0.993983,4.40E-05,14686,0.035387,0.035387,0.976142,328579,0.994757
785,810,2,0.975352,0.987365,0.00011,11092,0.034983,0.034983,0.980155,321143,0.98336
786,822,2,0.989286,0.994585,4.30E-05,13899,0.035431,0.035431,0.97614,329380,0.995977
787,774,2,0.935811,0.965704,7.00E-06,4628,0.033672,0.033672,0.99399,297353,0.946469
788,827,2,0.99521,0.997593,7.70E-05,36278,0.035525,0.035525,0.969445,331115,0.998654
789,823,2,0.990465,0.995187,5.20E-05,21585,0.035434,0.035434,0.973946,329440,0.996087
790,815,2,0.98111,0.990373,2.40E-05,9245,0.035255,0.035255,0.98325,326149,0.991007
791,804,2,0.968531,0.983755,2.10E-05,6311,0.034834,0.034834,0.986394,318414,0.979147
792,828,2,0.996403,0.998195,8.40E-05,38268,0.035528,0.035528,0.967264,331170,0.998755
793,708,2,0.871069,0.925993,8.20E-05,2298,0.030753,0.030753,0.989492,247648,0.864453
794,816,2,0.98227,0.990975,3.50E-05,7023,0.035233,0.035233,0.979571,325727,0.990399
795,790,2,0.952982,0.975331,1.20E-05,9051,0.034312,0.034312,0.991356,308961,0.964461
796,785,2,0.947548,0.972323,1.90E-05,5292,0.034041,0.034041,0.988145,304072,0.956869
797,800,2,0.964037,0.981348,2.40E-05,8336,0.034656,0.034656,0.986126,315166,0.974152
798,814,2,0.979953,0.989771,2.60E-05,12006,0.035208,0.035208,0.98304,325279,0.989687
799,719,2,0.88123,0.932611,2.70E-05,1801,0.031191,0.031191,0.988943,255267,0.876765
800,638,2,0.811523,0.883875,5.00E-06,1792,0.027818,0.027818,0.995473,202283,0.781941
801,825,2,0.992832,0.99639,4.90E-05,22546,0.035513,0.035513,0.973507,330895,0.998293
802,821,2,0.988109,0.993983,4.40E-05,12626,0.035404,0.035404,0.977054,328886,0.995218
803,826,2,0.994019,0.996992,5.80E-05,35201,0.035523,0.035523,0.971669,331072,0.998577
804,818,2,0.984597,0.992178,0.000119,17147,0.035259,0.035259,0.976206,326202,0.991135
805,820,2,0.986936,0.993381,3.50E-05,12277,0.035393,0.035393,0.978838,328684,0.994898
806,753,2,0.914191,0.953069,8.00E-06,3037,0.03275,0.03275,0.993222,281209,0.920556
807,825,2,0.992832,0.99639,5.70E-05,28367,0.035485,0.035485,0.971989,330379,0.997525
808,820,2,0.986936,0.993381,4.70E-05,15036,0.035344,0.035344,0.976107,327767,0.993523
809,828,2,0.996403,0.998195,6.60E-05,29314,0.03556,0.03556,0.96897,331754,0.999631
810,824,2,0.991647,0.995788,5.20E-05,19581,0.035467,0.035467,0.973372,330047,0.997008
811,804,2,0.968531,0.983755,2.60E-05,11596,0.034799,0.034799,0.984511,317806,0.978177
812,821,2,0.988109,0.993983,3.70E-05,10085,0.035421,0.035421,0.977975,329196,0.995682
813,807,2,0.97193,0.98556,2.00E-05,8239,0.034964,0.034964,0.986406,320800,0.982819
814,774,2,0.935811,0.965704,2.80E-05,2851,0.033516,0.033516,0.985128,294702,0.942134
815,318,2,0.618304,0.691336,0,408,0.013901,0.013901,0.998234,50314,0.390749
816,711,2,0.873817,0.927798,4.00E-06,1959,0.030985,0.030985,0.99622,251451,0.870942
817,753,2,0.914191,0.953069,1.70E-05,3088,0.032647,0.032647,0.988083,279754,0.9177
818,808,2,0.973068,0.986161,3.10E-05,9410,0.034949,0.034949,0.983081,320512,0.982391
819,809,2,0.974209,0.986763,3.60E-05,7159,0.034928,0.034928,0.979497,320135,0.981844
820,738,2,0.899351,0.944043,1.70E-05,3438,0.03202,0.03202,0.988447,268811,0.900048
821,829,2,0.997599,0.998797,0.000153,32638,0.035546,0.035546,0.965889,331499,0.999261
822,820,2,0.986936,0.993381,3.90E-05,18038,0.035374,0.035374,0.977772,328326,0.994361
823,822,2,0.989286,0.994585,3.70E-05,16985,0.035457,0.035457,0.977566,329861,0.996697
824,788,2,0.950801,0.974128,1.00E-05,6641,0.034239,0.034239,0.992131,307638,0.962409
825,822,2,0.989286,0.994585,4.50E-05,15702,0.035423,0.035423,0.975699,329231,0.995749
826,827,2,0.99521,0.997593,6.30E-05,25638,0.03554,0.03554,0.970274,331398,0.99908
827,65,2,0.520351,0.53911,2.00E-06,72,0.002748,0.002748,0.975,2028,0.077268
828,827,2,0.99521,0.997593,6.20E-05,24413,0.035542,0.035542,0.970388,331437,0.99914
829,814,2,0.979953,0.989771,3.20E-05,11894,0.035173,0.035173,0.981078,324630,0.988711
830,820,2,0.986936,0.993381,3.40E-05,15237,0.035396,0.035396,0.979002,328739,0.99498
831,821,2,0.988109,0.993983,4.00E-05,13023,0.0354,0.0354,0.976834,328812,0.995106
