Id,Label,timeset,clustering,triangles,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,eigencentrality
523,,,0.990035,306209,787,7684,2,0.949714,0.973526,4.578003,0.034165,0.034165,2,0.000679,0,0.960457
524,,,0.979168,327993,819,16050,2,0.985765,0.99278,11.712073,0.035356,0.035356,6,0.001233,0,0.99392
525,,,0.981902,319335,807,10308,2,0.97193,0.98556,10.759626,0.034884,0.034884,6,0.000859,0,0.980671
526,,,0.987879,308658,791,9610,2,0.954076,0.975933,6.731611,0.034296,0.034296,6,0.000813,0,0.964142
527,,,0.971666,331071,826,28939,2,0.994019,0.996992,20.005831,0.035523,0.035523,5,0.002069,0,0.99862
528,,,0.985547,318933,805,11135,2,0.969662,0.984356,12.012432,0.034863,0.034863,8,0.000915,0,0.980074
529,,,0.986004,315127,800,7075,2,0.964037,0.981348,7.797892,0.034654,0.034654,6,0.000651,0,0.974195
530,,,0.973522,330900,825,26525,2,0.992832,0.99639,16.921624,0.035513,0.035513,1,0.00192,0,0.998353
531,,,0.980891,322974,812,12248,2,0.977647,0.988568,11.377743,0.035083,0.035083,8,0.00099,0,0.986263
532,,,0.973903,330227,824,22181,2,0.991647,0.995788,17.816812,0.035477,0.035477,10,0.001627,0,0.997331
533,,,0.975921,329306,822,25878,2,0.989286,0.994585,15.524889,0.035427,0.035427,3,0.001869,0,0.995924
534,,,0.985056,321156,808,9135,2,0.973068,0.986161,8.548422,0.034984,0.034984,8,0.00079,0,0.983472
535,,,0.971458,331000,826,25363,2,0.994019,0.996992,20.36992,0.035519,0.035519,2,0.001835,0,0.99851
536,,,0.979002,328739,820,16427,2,0.986936,0.993381,11.754786,0.035396,0.035396,2,0.001255,0,0.995057
537,,,0.970069,331328,827,30626,2,0.99521,0.997593,24.839966,0.035536,0.035536,4,0.002178,0,0.999009
538,,,0.975761,330054,823,24218,2,0.990465,0.995187,15.041027,0.035467,0.035467,6,0.001768,0,0.997066
539,,,0.969656,331187,827,28057,2,0.99521,0.997593,26.259834,0.035529,0.035529,4,0.002005,0,0.998796
540,,,0.995804,240153,695,1410,2,0.859359,0.918171,1.524084,0.030258,0.030258,8,0.000278,0,0.850619
